$T$,$\mu_q$
0.12951965932186185,0.0
0.12951965932186185,0.0018873115
0.12951965932186185,0.003774623
0.12951965932186185,0.0056619345
0.12941864922085175,0.007549246
0.12941864922085175,0.0094365575
0.12941864922085175,0.011323869
0.1293699350007614,0.0132111805
0.1292689248997513,0.015098492
0.1291679147987412,0.0169858035
0.1290669046977311,0.018873115
0.12901819047764074,0.020760426499999998
0.12891718037663064,0.022647738
0.1287674560555302,0.0245350495
0.1286664459545201,0.026422361
0.12851672163341962,0.0283096725
0.12841571153240952,0.030196984
0.12826598721130908,0.0320842955
0.12816497711029898,0.033971607
0.12801525278919854,0.035858918499999996
0.127764518367088,0.03774623
0.1276635082660779,0.0396335415
0.12741277384396732,0.041520852999999996
0.12726304952286688,0.0434081645
0.1270123151007563,0.045295476
0.12686259077965586,0.0471827875
0.12655956047662556,0.049070099
0.12640983615552512,0.0509574105
0.12615910173341457,0.052844722
0.125908367311304,0.0547320335
0.12565763288919346,0.056619345
0.1254068984670829,0.0585066565
0.12505515394396224,0.060393968
0.12485671540277143,0.0622812795
0.12450497087965079,0.064168591
0.12425423645754025,0.0660559025
0.12390249193441957,0.067943214
0.12365175751230903,0.0698305255
0.12325129876909802,0.07171783699999999
0.12289955424597737,0.0736051485
0.12258219729962948,0.07549246
0.12224836108065582,0.0773797715
0.12189661655753517,0.079267083
0.12149615781432416,0.0811543945
0.12114441329120348,0.08304170599999999
0.1207439545479925,0.0849290175
0.12039221002487183,0.086816329
0.11999175128166084,0.0887036405
0.11959129253844983,0.090590952
0.11913853791431908,0.0924782635
0.11873807917110807,0.094365575
0.11823661032688697,0.0962528865
0.11788486580376631,0.098140198
0.11738339695954521,0.1000275095
0.11698293821633421,0.101914821
0.1164814693721131,0.1038021325
0.115980000527892,0.105689444
0.115579541784681,0.1075767555
0.11507807294045988,0.109464067
0.11452430821531903,0.1113513785
0.11402283937109792,0.11323869
0.11352137052687682,0.1151260015
0.11301990168265572,0.117013313
0.11257072871935436,0.1189006245
0.11196824977412315,0.120787936
0.11146678092990205,0.1226752475
0.11096531208568094,0.124562559
0.11036283314044973,0.1264498705
0.10986136429622863,0.128337182
0.10935989545200751,0.1302244935
0.10870870228668596,0.132111805
0.10820723344246486,0.1339991165
0.10760475449723364,0.135886428
0.10710328565301254,0.1377737395
0.10645209248769098,0.139661051
0.10595062364346988,0.1415483625
0.10534814469823867,0.14343567399999999
0.10469695153291711,0.1453229855
0.10419548268869601,0.147210297
0.1035930037434648,0.1490976085
0.10294181057814325,0.15098492
0.10233933163291203,0.1528722315
0.10178914856860058,0.154759543
0.10118666962336938,0.1566468545
0.10048318057712807,0.158534166
0.09993299751281662,0.1604214775
0.0993305185675854,0.162308789
0.09867932540226385,0.1641961005
0.09807684645703264,0.16608341199999999
0.09742565329171109,0.1679707235
0.09672216424546977,0.169858035
0.09617198118115831,0.1717453465
0.09552078801583676,0.173632658
0.09481729896959545,0.1755199695
0.0941661058042739,0.177407281
0.09356362685904268,0.1792945925
0.09281142359271102,0.181181904
0.09216023042738947,0.1830692155
0.09145674138114816,0.184956527
0.0908055482158266,0.1868438385
0.09010385,0.18873115
